payoff_id	label	rationale	source_sections	confidence	status
p1-metrics-as-product	Treat your metrics as a product with named customers	Converts a permanent political argument about engineering productivity into an ordinary product problem: identify three customer groups (engineers, engineering managers, leaders outside engineering), do user research, ship a small first version, improve it over time. This is the essay's selected payoff.	ch10-product, ch10-design	high	selected
p2-decision-test	"What decision would you make differently if you knew this?"	One portable question that kills unfounded metric requests and reframes them toward the real underlying question ("Are we okay?"). The most reusable single move in the book; observed working in the running case study against a GitHub-contribution-graph MVP claim.	ch10-want-need, ch10-questions	high	selected
p3-metric-spec	Every answer gets a metric, a success criterion, and a maintenance goal	Table 10-1 decomposes a high-level business question into a specific question, explicit success criteria (CI under 15 min, CI/CD under 30 min), named metrics, and a maintenance goal (95% of runs). Turns vague measurement talk into a fillable spec.	ch10-questions	high	selected
p4-focused-set	DORA four plus one or two context metrics, five or six total	Caps the working set, ties the extra metrics to the current worst pain (reliability / predictability / quality / team health), and prescribes a rollout: baseline four to six weeks, then add context, then reassess quarterly which metrics drove a decision.	ch10-choosing	high	selected
p5-inventory-first	Inventory what you already emit before buying a platform	Git, CI/CD, issue tracking, and monitoring usually already contain all four DORA metrics. Author-reported: more than one team was about to buy an expensive metrics platform and found the data in Jira, GitHub, and CircleCI.	ch10-take-stock	high	selected
p6-safety-requirement	Measure teams, not individuals; context not judgment	The safety requirement that stops the product framing becoming a surveillance system. Includes a concrete failure: publishing per-reviewer PR review time caused rubber-stamping and tripled bug escape rate in two weeks.	ch10-human-side	high	selected
p7-failure-modes	Goodhart's Law, context ignorance, and invisible work	Three named ways a measurement product degrades. The invisible-work argument is the strongest: the fix is not measuring more but stating what you are NOT measuring, rotating focus metrics, and protecting time for unmeasured work.	ch10-goodhart, ch10-context, ch10-measured	high	selected
p8-maintenance	Version metrics like code; give them an owner; retire them	Minor/major version bumps, a changelog when a calculation changes, a named owner acting as product manager for the metrics, and an explicit deletion check. Unusually concrete for a leadership book and what makes "product" more than a metaphor.	ch10-maintenance	high	selected
p9-velocity	Velocity is a capacity planning tool, not a productivity metric	Keep it inside the team, read it as a rolling average, treat sharp moves as a signal to investigate. Useful but narrower than the rest; optional in the reading mission unless story points are a live argument.	ch10-velocity	medium	selected
p10-compass-stack	The layered stack: people/safety, direction, process, metrics as compass	Chapter 11's synthesis. Explains why the metrics chapter is second-to-last rather than first, and supplies the essay's closing frame. Recapitulates rather than adds, so it supports the payoff instead of being it.	ch11-foundation, ch11-lighthouse, ch11-engine, ch11-compass	medium	candidate
p11-one-thing	Pick one thing, commit for a month, then add one more	Chapter 11's implementation advice, structurally identical to the metrics rollout. Genuine but generic; used as corroboration only.	ch11-practice	low	candidate
p12-ai-metrics	AI changes the measurements, not the methodology	Segment AI-assisted from traditional work, watch quality alongside speed, add a trust dimension. Currency-relevant for a 2026 edition, but the specific productivity figures are 2025-era snapshots.	ch10-ai	medium	candidate
