payoff_id	label	rationale	source_sections	confidence	status
P1	A finding becomes a decision only through the report	Chapter 14 opens with valid bug bounty findings that triage teams set aside because the presentation made them hard to follow, and later shows a Synack reward doubled after patient-data context was added. The chapter's whole argument is that severity is argued, not computed.	ch14, ch14_intro, ch14_technical	high	selected
P2	Impact must be reconstructed in the client's context, not scored abstractly	14.7 states that testers have limited knowledge of how clients value assets, uses the decommissioning-server RCE as the case where tester and client disagree, and 14.7.2 lists three reasons the author's practice often declines CVSS: no environmental context, scoring subjectivity, and interpretive complexity.	ch14_risk, ch14_cvss_limits, ch14_matrix, ch14_ratings	high	selected
P3	The report has three readers with three different questions	14.2 splits the audience into top executives, security/technology executives, and technical teams, and 14.11 organizes the document as an inverse pyramid so each tier can stop reading where its question is answered.	ch14_audience, ch14_organizing, ch14_execsummary	high	selected
P4	The findings are a story, not a list	14.6 argues the narrative lives in the executive summary and that a scan result read closely is a story about patch management and end-of-life systems, aligned to what the client asked to learn.	ch14_narrative, ch14_findings	medium-high	selected
P5	Business logic flaws are the class where impact can only be argued	Chapter 8 says scanners are extremely poor at detecting logic flaws and that the security implication depends on the business value of the application; its case studies are severities that no scoring vector can produce.	ch08, ch08_intro, ch08_cases, ch08_race	high	selected
P6	Report quality is a process, not a talent	14.13 prescribes a template, a fixed font/style, a chosen English variant, and a QA pass that checks executive-summary/content alignment, chart/finding agreement, header/content agreement, PoC consistency, and affected-host accuracy.	ch14_tips	medium-high	selected
P7	WAF evasion is evidence about likelihood, not a trophy	13.1 states WAFs are not context-aware and mostly pattern-matching, and 13.2 frames a bypass methodology. Whether a bypass exists is what decides "mitigated in practice" versus "live" in a report.	ch13, ch13_intro, ch13_method	medium	supporting
P8	Enumeration output is interpreted, not memorized	2.1 says the real skill is interpreting tool output and correlating sources, and that no collected data is unnecessary. This is what makes the report's affected-host list trustworthy.	ch02, ch02_intro	medium	supporting
P9	LLM assistance in reporting needs an anonymization boundary	14.12.1 notes findings contain PII, usernames, and passwords, requires anonymization before processing, and requires manual review because output may be inaccurate.	ch14_chatgpt	medium	supporting
P10	Payload catalogue for modern web attacks	Chapters 3-13 are a large, current-at-writing arsenal of injection, deserialization, HTML5, and WAF-bypass techniques.	ch03, ch04, ch06, ch09, ch10, ch12, ch13	high-in-book	rejected-as-payoff
